"Exports and imports of goods and services, quarterly, Canada, (NAPCS 2017) (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 12-10-0134-01"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medium and heavy trucks, buses, and other motor vehicles","10,237","9,865","9,717","9,165","9,193","9,581","9,421","8,221","8,189","8,865","9,101","8,869","8,429","7,709","7,413","7,241","6,605","6,641","6,889","6,537","7,465","7,689","8,805","9,537","9,973","9,861","9,633","9,325","9,841","9,865","9,221","8,301","7,809","3,548","6,721","7,269","7,837","7,721","7,765","8,249","7,873","9,085","10,141","9,217"
"Tires; motor vehicle engines and motor vehicle parts","39,029","41,058","39,957","38,160","38,009","38,598","39,076","39,826","37,253","39,751","39,909","40,037","38,503","39,380","42,065","41,478","43,587","41,629","42,446","42,329","43,261","44,519","40,413","40,153","42,619","41,205","39,661","40,932","41,487","41,160","40,786","39,059","34,920","16,729","36,440","35,770","32,317","27,239","27,962","31,808","32,254","33,504","33,502","33,103"
"Aircraft and other transportation equipment and parts","13,006","13,591","12,377","13,779","14,124","13,950","14,521","16,758","14,764","16,227","14,840","17,034","17,077","16,545","15,142","19,191","14,469","17,291","12,761","13,200","14,911","15,782","14,071","17,778","17,690","19,774","15,970","17,040","22,958","17,866","17,694","16,916","18,109","12,051","11,638","11,495","12,508","14,995","14,387","14,577","14,463","16,597","16,752","15,626"
"Aircraft, aircraft engines and aircraft parts","8,886","9,432","8,140","9,918","9,835","9,791","9,800","11,559","10,493","12,116","10,994","12,234","12,736","11,478","10,557","15,149","10,399","12,996","8,902","9,314","10,464","11,300","9,722","12,288","12,838","13,740","10,687","12,611","17,335","12,407","12,237","11,742","13,621","7,044","8,152","7,531","8,404","9,168","8,310","9,690","9,448","10,801","11,637","10,301"
"Other transportation equipment and parts","4,117","4,155","4,237","3,866","4,288","4,159","4,722","5,200","4,267","4,092","3,831","4,796","4,305","5,113","4,621","3,905","4,073","4,243","3,888","3,904","4,473","4,496","4,385","5,534","4,857","6,083","5,354","4,417","5,584","5,510","5,514","5,222","4,415","5,217","3,513","4,058","4,178","6,032","6,342","4,961","5,113","5,915","5,080","5,425"
"Consumer goods","86,303","86,624","87,373","87,768","88,854","88,909","89,558","89,971","89,624","93,268","92,619","93,306","92,474","93,582","94,858","92,024","93,002","92,331","91,753","91,919","94,249","95,638","97,263","98,262","99,798","100,217","99,887","99,642","101,648","100,159","100,536","99,231","95,904","91,287","104,891","110,442","108,675","112,091","105,825","112,927","112,423","117,448","116,591","108,059"
"Food, beverage and tobacco products","20,828","20,725","21,378","21,942","21,661","21,787","21,931","21,848","21,728","22,708","22,524","22,668","22,775","23,217","23,602","23,664","24,136","23,939","23,525","23,604","24,016","24,157","24,361","24,463","24,245","24,269","24,377","24,287","24,387","24,385","24,448","23,757","24,156","23,492","24,014","24,571","24,020","23,857","23,425","23,714","24,070","25,390","24,496","23,868"
"Clothing, footwear and textile products","16,961","17,566","17,261","17,257","17,897","17,457","17,990","17,927","17,955","18,665","18,013","18,325","18,283","17,728","18,319","17,123","17,665","17,148","16,944","16,955","17,412","18,209","18,818","19,491","19,060","19,671","19,260","19,929","20,185","19,951","19,481","18,424","17,580","15,979","18,189","19,454","18,401","17,891","17,429","19,145","19,811","22,836","22,412","21,370"
"Paper and published products","6,966","7,024","6,916","6,822","6,846","6,661","6,598","6,470","6,322","6,362","6,271","5,914","5,894","5,798","5,950","5,818","5,535","5,615","5,351","5,290","5,118","5,172","5,295","5,356","5,449","5,291","5,276","5,193","5,075","5,096","5,178","5,040","5,552","4,261","4,946","5,192","5,070","4,987","5,141","5,278","5,049","5,139","5,012","4,771"
"Pharmaceutical and medicinal products","13,631","13,307","13,803","13,699","13,371","14,255","14,075","14,323","14,263","15,775","15,535","15,759","15,943","16,555","17,527","16,975","16,495","16,787","16,819","16,759","17,203","17,399","17,543","17,343","19,583","18,995","19,639","18,863","20,879","19,767","20,903","23,111","19,771","22,143","22,075","22,607","22,915","28,446","25,071","30,318","28,294","24,906","29,102","24,754"
"Furniture and fixtures","6,047","6,007","6,055","6,039","6,295","6,135","6,359","6,335","6,271","6,451","6,391","6,571","6,451","6,411","6,291","6,231","6,487","6,187","6,423","6,359","6,763","7,031","7,003","7,031","7,111","7,031","7,031","6,939","7,243","6,915","6,791","6,431","6,107","4,763","6,719","7,723","7,811","7,855","7,347","7,363","7,651","8,439","8,299","7,171"
